County,Calendar Year,Elderly CalFresh July,Age 18 to 59 CalFresh July,Children CalFresh July,ESL CalFresh July CY,Total Population CY,Total Elderly 60Plus CY,Total Children Under 18 CY,Total ESL Over age 5 CY,Total SSI Recipients CY,,,,,,
San Luis Obispo,2018,"1,793","7,927","6,516","2,630","280,101","80,561","51,974","9,045","3,802",,,,,,
San Mateo,2018,"3,385","8,539","11,435","9,687","774,155","183,173","163,129","54,023","9,212",,,,,,
Santa Barbara,2018,"2,798","16,125","19,884","13,453","453,457","93,932","103,199","45,552","7,676",,,,,,
Santa Clara,2018,"10,216","32,789","36,942","31,912","1,956,598","393,649","448,977","162,853","39,764",,,,,,
Santa Cruz,2018,"2,543","11,335","10,439","7,987","276,864","65,283","60,678","20,226","4,531",,,,,,
Shasta,2018,"2,007","12,897","9,205",427,"178,271","49,766","37,648","2,041","8,819",,,,,,
Sierra,2018,47,115,67,*,"3,207","1,280",469,*,78,,,,,,
Siskiyou,2018,577,"3,229","2,560",218,"44,612","15,148","8,574",613,"2,353",,,,,,
Solano,2018,"3,317","18,283","16,724","5,587","439,793","99,982","101,176","20,223","10,681",,,,,,
Sonoma,2018,"3,718","12,298","12,845","7,980","503,332","139,599","98,066","26,868","7,736",,,,,,
Stanislaus,2018,"4,894","36,317","36,686","14,019","555,624","103,114","146,558","48,530","18,832",,,,,,
Sutter,2018,650,"5,274","5,743","1,905","97,238","20,461","25,070","9,529","3,711",,,,,,
Tehama,2018,627,"4,274","4,207","1,043","64,039","16,265","15,528","2,130","2,879",,,,,,
Trinity,2018,159,995,514,*,"13,635","5,139","2,150",102,602,,,,,,
Tulare,2018,"6,174","47,882","62,215","36,932","475,834","78,149","144,290","61,208","17,480",,,,,,
Tuolumne,2018,576,"2,608","1,606",57,"54,740","19,317","8,567",398,"1,493",,,,,,
Ventura,2018,"6,419","27,742","32,789","22,650","859,073","189,578","197,155","77,382","14,450",,,,,,
Yolo,2018,"1,460","9,710","7,253","4,136","221,270","39,228","51,447","12,376","4,944",,,,,,
Yuba,2018,694,"6,258","5,948","1,266","74,727","13,995","21,485","3,897","3,521",,,,,,
Statewide,2019,"534,608","1,765,654","1,726,193","1,072,674","39,959,095","8,353,795","9,061,651",,,,,,,,
Alameda,2019,"19,496","49,067","39,045","30,618","1,674,115","363,389","354,301",,,,,,,,
Alpine,2019,24,72,39,0,"1,128",415,175,,,,,,,,
Amador,2019,387,"1,362",901,37,"38,223","13,183","5,444",,,,,,,,
Butte,2019,"3,289","16,564","9,990","2,008","216,965","56,856","43,424",,,,,,,,
Calaveras,2019,746,"2,567","1,438",76,"44,394","17,168","6,510",,,,,,,,
Colusa,2019,179,597,712,334,"22,483","4,495","5,782",,,,,,,,
Contra Costa,2019,"8,188","26,734","26,748","11,724","1,153,077","275,661","250,901",,,,,,,,
Del Norte,2019,533,"2,853","1,853",152,"27,520","6,696","5,517",,,,,,,,
El Dorado,2019,"1,598","5,944","3,639",594,"191,210","59,081","34,252",,,,,,,,
Fresno,2019,"14,484","87,111","103,869","45,108","1,021,960","176,739","281,014",,,,,,,,
Glenn,2019,345,"1,597","1,477",449,"29,197","6,232","7,246",,,,,,,,
Humboldt,2019,"2,758","12,933","6,466",718,"134,909","34,139","27,987",,,,,,,,
Imperial,2019,"4,896","17,607","17,674","20,620","190,025","35,559","55,110",,,,,,,,
Inyo,2019,232,859,701,107,"18,462","5,936","3,555",,,,,,,,
Kern,2019,"12,328","65,069","78,655","30,673","917,379","150,342","252,977",,,,,,,,
Kings,2019,"1,759","10,439","11,348","4,703","154,446","22,885","43,977",,,,,,,,
Lake,2019,"1,968","6,376","4,030",768,"64,889","19,563","14,264",,,,,,,,
Lassen,2019,313,"1,647","1,139",45,"29,880","6,318","5,209",,,,,,,,
Los Angeles,2019,"181,910","497,924","471,744","378,038","10,260,237","2,085,070","2,231,467",,,,,,,,
Madera,2019,"1,632","9,621","14,870","8,042","158,940","31,620","41,235",,,,,,,,
Marin,2019,"2,089","4,306","3,773","3,412","261,627","83,999","49,636",,,,,,,,
Mariposa,2019,350,"1,045",616,43,"17,860","6,824","2,507",,,,,,,,
Mendocino,2019,"1,552","5,837","4,315","1,376","88,590","25,636","20,083",,,,,,,,
Merced,2019,"3,955","22,713","25,940","12,187","283,408","45,081","79,847",,,,,,,,
Modoc,2019,139,744,499,39,"9,486","3,215","1,691",,,,,,,,
Mono,2019,70,296,246,101,"13,881","3,360","2,510",,,,,,,,
Monterey,2019,"3,495","12,640","20,926","15,633","446,539","85,412","114,912",,,,,,,,
Napa,2019,833,"2,224","2,510","1,832","140,062","35,619","27,975",,,,,,,,
Nevada,2019,"1,194","4,345","2,364",182,"98,613","35,874","15,540",,,,,,,,
Orange,2019,"32,978","79,099","92,237","81,334","3,220,987","693,437","717,003",,,,,,,,
Placer,2019,"2,410","7,167","5,197","1,381","394,737","103,679","81,792",,,,,,,,
Plumas,2019,233,"1,223",709,27,"18,858","7,326","3,057",,,,,,,,
Riverside,2019,"24,538","109,595","112,871","43,729","2,443,454","508,893","592,047",,,,,,,,
Sacramento,2019,"22,704","99,215","86,191","44,201","1,553,253","317,294","367,322",,,,,,,,
San Benito,2019,412,"1,957","2,132","1,063","62,782","12,943","13,775",,,,,,,,
San Bernardino,2019,"29,074","145,985","150,208","47,712","2,197,650","378,683","557,643",,,,,,,,
San Diego,2019,"40,827","121,468","105,574","85,038","3,357,442","668,905","758,196",,,,,,,,
San Francisco,2019,"24,223","24,448","13,761","29,601","889,360","201,195","133,134",,,,,,,,
San Joaquin,2019,"9,251","42,221","45,457","16,098","771,700","143,011","195,068",,,,,,,,
San Luis Obispo,2019,"2,193","7,917","5,853","2,418","278,902","75,496","49,559",,,,,,,,
San Mateo,2019,"4,566","7,704","9,310","8,493","776,252","191,894","160,174",,,,,,,,
Santa Barbara,2019,"3,926","17,198","18,213","12,643","454,529","94,428","99,782",,,,,,,,
Santa Clara,2019,"19,641","31,022","31,177","34,223","1,961,117","401,564","445,263",,,,,,,,
Santa Cruz,2019,"3,146","11,282","9,244","7,009","274,545","65,645","53,106",,,,,,,,
Shasta,2019,"2,812","12,871","8,248",373,"178,029","48,209","38,121",,,,,,,,
Sierra,2019,59,116,63,*,"3,121","1,300",425,,,,,,,,
Siskiyou,2019,862,"3,532","2,515",197,"44,060","14,920","8,167",,,,,,,,
Solano,2019,"4,711","18,498","15,085","5,037","442,145","101,394","99,071",,,,,,,,
Sonoma,2019,"4,687","11,873","10,794","6,586","498,480","137,772","94,462",,,,,,,,
Stanislaus,2019,"7,756","34,892","32,563","13,627","558,395","101,956","149,638",,,,,,,,
Sutter,2019,940,"5,301","5,256","1,787","103,580","21,832","25,116",,,,,,,,
Tehama,2019,"1,076","4,724","4,033",901,"65,428","16,696","15,216",,,,,,,,
Trinity,2019,266,986,466,*,"13,385","5,108","2,204",,,,,,,,
Tulare,2019,"8,320","47,695","58,133","34,298","479,924","80,309","141,302",,,,,,,,
Tuolumne,2019,769,"2,596","1,442",60,"52,568","18,805","8,163",,,,,,,,
Ventura,2019,"8,138","26,879","29,441","20,132","853,747","191,306","197,106",,,,,,,,
Yolo,2019,"2,196","10,300","6,636","3,874","222,868","39,146","48,055",,,,,,,,
Yuba,2019,"1,152","6,797","5,857","1,194","78,292","14,282","22,636",,,,,,,,
