County,Calendar Year,Elderly CalFresh July,Age 18 to 59 CalFresh July,Children CalFresh July,ESL CalFresh July CY,Total Population CY,Total Elderly 60Plus CY,Total Children Under 18 CY,Total ESL Over age 5 CY,Total SSI Recipients CY,,,,,,
Amador,2015,268,"1,979","1,298",109,"37,314","12,900","5,814",411,688,,,,,,
Butte,2015,"1,688","18,237","13,292","2,552","224,363","54,238","45,626","5,020","10,733",,,,,,
Calaveras,2015,522,"3,130","1,914",128,"44,899","16,053","7,567",331,"1,057",,,,,,
Colusa,2015,91,623,890,462,"22,271","4,316","6,137","2,864",561,,,,,,
Contra Costa,2015,"4,266","33,201","36,931","16,309","1,116,882","237,699","252,327","74,992","24,238",,,,,,
Del Norte,2015,215,"2,807","2,197",215,"27,119","6,419","5,776",654,"1,797",,,,,,
El Dorado,2015,"1,017","7,646","5,113",870,"183,140","49,149","37,127","3,365","2,871",,,,,,
Fresno,2015,"7,766","104,163","127,914","61,125","979,357","158,226","279,388","107,436","41,165",,,,,,
Glenn,2015,146,"1,667","1,990",735,"28,960","6,024","7,599","2,525","1,106",,,,,,
Humboldt,2015,"1,252","12,427","7,848",931,"135,090","31,797","27,497","2,396","5,488",,,,,,
Imperial,2015,"2,416","20,726","21,617","23,414","185,328","30,862","53,999","33,949","10,128",,,,,,
Inyo,2015,148,"1,058",911,266,"18,640","5,554","3,865",495,394,,,,,,
Kern,2015,"5,815","69,041","89,787","38,114","883,327","132,102","254,777","87,761","31,341",,,,,,
Kings,2015,890,"11,318","13,206","5,889","149,702","20,873","45,340","13,818","4,579",,,,,,
Lake,2015,851,"6,551","4,973",893,"65,180","18,831","13,497","2,109","3,675",,,,,,
Lassen,2015,143,"1,734","1,425",61,"30,969","6,731","5,429",650,883,,,,,,
Los Angeles,2015,"60,495","522,881","612,716","434,702","10,185,487","1,846,906","2,319,368","1,352,159","386,663",,,,,,
Madera,2015,853,"11,501","17,828","10,136","154,956","28,618","42,496","20,134","4,530",,,,,,
Marin,2015,"1,245","4,845","5,016","4,041","262,105","73,899","52,796","11,168","2,913",,,,,,
Mariposa,2015,198,"1,196",786,41,"18,088","6,333","2,918",233,451,,,,,,
Mendocino,2015,892,"7,158","5,661","1,813","88,429","24,106","19,113","4,327","3,087",,,,,,
Merced,2015,"2,053","25,525","32,648","15,791","269,729","40,359","79,613","36,937","10,774",,,,,,
Modoc,2015,45,497,443,39,"9,507","3,069","1,828",308,419,,,,,,
Mono,2015,50,470,351,212,"13,818","2,647","2,862","1,021",99,,,,,,
Monterey,2015,"2,416","18,095","31,750","23,373","436,242","77,866","113,520","80,174","8,376",,,,,,
Napa,2015,441,"3,134","4,130","2,947","141,546","33,624","30,174","11,332","2,093",,,,,,
Nevada,2015,662,"4,452","2,895",280,"98,190","33,078","16,697","1,252","1,806",,,,,,
Orange,2015,"18,936","102,424","141,215","117,427","3,161,218","604,466","728,580","331,979","68,296",,,,,,
Placer,2015,"1,517","9,273","7,520","1,899","370,738","92,963","78,707","9,998","5,127",,,,,,
Plumas,2015,131,"1,157",769,39,"19,586","7,101","3,236",197,656,,,,,,
Riverside,2015,"14,635","135,095","154,733","66,547","2,329,256","437,865","599,727","190,180","58,059",,,,,,
Sacramento,2015,"9,586","111,012","104,370","48,606","1,489,952","274,958","360,331","93,427","62,730",,,,,,
San Benito,2015,310,"2,688","3,222","1,760","57,584","10,257","14,800","5,268",900,,,,,,
San Bernardino,2015,"18,789","187,298","201,521","71,699","2,129,851","332,066","579,387","168,647","68,072",,,,,,
San Diego,2015,"21,309","141,245","139,244","102,557","3,275,084","613,778","772,594","231,525","76,341",,,,,,
San Francisco,2015,"6,983","27,846","19,320","21,618","863,108","183,363","121,514","100,767","37,327",,,,,,
San Joaquin,2015,"5,030","55,281","64,478","24,104","727,547","123,054","198,377","63,826","27,357",,,,,,
San Luis Obispo,2015,"1,443","9,512","8,334","3,385","276,844","73,091","49,981","10,271","4,209",,,,,,
San Mateo,2015,"3,523","12,023","17,117","14,437","764,379","166,867","161,548","58,320","10,434",,,,,,
Santa Barbara,2015,"1,754","14,238","21,903","14,578","444,900","86,387","100,349","48,492","8,191",,,,,,
Santa Clara,2015,"9,780","47,649","54,927","48,326","1,915,102","350,400","442,255","176,469","42,694",,,,,,
Santa Cruz,2015,"2,023","11,558","12,562","9,634","274,697","58,383","57,881","21,297","4,931",,,,,,
Shasta,2015,"1,342","14,396","10,429",500,"178,777","47,459","37,929","2,477","9,252",,,,,,
Sierra,2015,35,204,93,*,"3,147","1,199",469,36,85,,,,,,
Siskiyou,2015,414,"3,801","2,949",192,"44,500","14,392","8,777",661,"2,389",,,,,,
Solano,2015,"2,537","22,766","20,554","6,980","429,267","88,191","100,373","21,251","11,654",,,,,,
